id,category,rating,label,text_,class_fcnn_bge,random_forest,xgboost,correct_count,ensemble_vote,char_length,word_length,word_cnt_bin,difficulty
15567,Movies_and_TV_5,5.0,CG,"The Green Prince  Musicbox (Cisco)

Two-Disc Collection

Disc 1

Disc 2

Disc 3

Disc 4

Disc 5

Disc 6

Disc 7

Disc 8

Disc 9

Disc 10

Disc 11

Disc 12

Disc 13

Disc 14

Disc 15

Disc 16

Disc 17

Disc 18

Disc 19

Disc 20

Disc 21

Disc 22

Disc 23

Disc 24

Disc 25

Disc 26

Disc 27

Disc 28

Disc 29

Disc 30

Disc 31

Disc 32

Disc 33

Disc 34

Disc 35

Disc 36

Disc 37

Disc 38

Disc 39

Disc 40

Disc 41

Disc 42

Disc 43

Disc 44

Disc 45

Disc 46

Disc 47

Disc 48

Disc 49

Disc 50

Disc 51

Disc 52

Disc 53

Disc 54

Disc 55

Disc 56

Disc 57

Disc 58

Disc 59

Disc 60

Disc 61

Disc 62

Disc 63

Disc 64

Disc 65

Disc 66

Disc 67

Disc 68

Disc 69

Disc 70

Disc 71

Disc 72

Disc 73

Disc 74

Disc 75

Disc 76

Disc 77

Disc 78

Disc 79

Disc 80

Disc 81

Disc 82",0,0,0,0,0,784,171,107–373 Wörter,3
23335,Pet_Supplies_5,4.0,CG,"Maybe if you have a dog with a wide mouth you might need to make a small change. I think it's a good idea to have some guidelines when it comes to how much food you should give your dog. Some people think it's ok to give some food to your dog and others say it's ok to give them a treat. If you have a dog with a long mouth or a sensitive stomach, I think that's fine. If you have a dog that's sensitive to eating something that is hard to digest, I'd suggest changing that up a bit. I've found that having a dog with a sensitive stomach is not as important to your dog as having a hard body and to a dog that is sensitive to eating something that is hard to digest. My dog also likes some of the soft treats she gets but she doesn't like the soft ones.",0,0,0,0,0,753,156,107–373 Wörter,3
11636,Electronics_5,5.0,CG,"This CD Manual Disc Repair (CDR) Manual Manual Manual

The CD Manual Manual Manual Manual is an excellent DVD repair manual, designed to help you understand the process of how to properly repair a CD. It contains a detailed, thorough description of the process of setting up CD-ROM drives, including how to format the CD, which CD-ROM discs to format, how to use CD-ROM drives to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM discs to format, how to format CD-ROM",0,0,0,0,0,826,148,107–373 Wörter,3
3727,Home_and_Kitchen_5,4.0,CG,"The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass.",0,0,0,0,0,727,119,107–373 Wörter,3
18893,Tools_and_Home_Improvement_5,3.0,CG,"got tired of the fluorescent lights.  But, these are a nice light for the money.  I'll be buying more.

Update:  I bought two of these bulbs for my family room in the hallway.  They were about the same price as the bulbs in the bathroom and a bit smaller than the bulbs in the upstairs room.  They are a little brighter than the fluorescent lights but still bright enough to see if you're in the hallway.

Update 2:  I bought another one for the master bedroom.  I'm not sure how long it will last but it's nice to have more light at night.  I can't say how long it will last but I'm hoping it",0,0,0,0,0,593,115,107–373 Wörter,3
11132,Electronics_5,5.0,OR,"This is the best bluetooth keyboard I have ever used. I have one for an ipad mini and it is very durable and works very well. I have no problem with it connecting to my ipad. I don't have to worry about dropping it, (I dropped it a few weeks ago and the case I had on it protected it, but the case broke) that's why I decided to get a more durable case and had always wished I could type like a lap top. It does add some weight to the ipad, but it is worth the weigh for the protection and usage. I love it and would recommend it to anyone.",0,0,0,0,0,540,113,107–373 Wörter,3
26900,Kindle_Store_5,5.0,CG,"I'm so happy that Camryn has finally come to terms with her past and is now a full time woman. I know I am, but I am still a complete mess. I can't even begin to describe how much I loved her. Camryn is one of my favorite characters in the entire series. I have read the entire series, and I have not lost a single one of them. I can't wait to read the next installment.I enjoyed this book.",0,0,0,0,0,390,80,53–106 Wörter,3
18447,Tools_and_Home_Improvement_5,4.0,CG,It's great (borderline essential) to have an easy way to make sure your work is done properly.  It is so easy to open the door and it is easy to figure out what you are doing.  I have been in the field for years and have learned how to operate the door.  I have used it with a portable ladder and a cordless workhorse.  It has all the tools needed for a very small,0,0,0,0,0,364,74,53–106 Wörter,3
10711,Electronics_5,3.0,CG,"My wireless connection drops from about 20 feet to about 15 feet.  This is a major issue.  If you are trying to run a wireless network through a wall, you should go to the router and look at the Bluetooth device.  Otherwise, if you are using the device for the web browsing, it's a huge issue.  If you have a router that is really capable of handling",0,0,0,0,0,350,67,53–106 Wörter,3
31040,Books_5,2.0,CG,"Patterson has marketed his name and his books as a ""dramatic, riveting, and deeply moving read,"" but the reader must also remember that the illustrations are not always as clear as they seem.  It's a shame that this one was not made into a movie.  In fact, if you have read the book, you can be sure that",0,0,0,0,0,304,58,53–106 Wörter,3
